,Art Title,Movement,Name
134,reading-girls,Impressionism,nikolay-bogdanov-belsky
135,cow-behind-a-tree,Post Impressionism,pierre-bonnard
136,saint-lazare-station-track-coming-out,Impressionism,claude-monet
137,peasant-woman-head-1885,Realism,vincent-van-gogh
138,crossing-of-the-river-oyat-1872,Romanticism,vasily-polenov
139,the-muses-leaving-their-father-apollo-to-go-out-and-light-the-world-1868,Symbolism,gustave-moreau
140,musicians-arab-and-negro-1928,Expressionism,zinaida-serebriakova
141,oranges,Naive Art Primitivism,fernando-botero
142,portrait-of-gabrielle,Impressionism,pierre-auguste-renoir
143,venice-canal-scene-with-a-bridge,Naive Art Primitivism,louis-vivin
144,in-pereiaslav-the-church-of-the-intercession-1845,Romanticism,taras-shevchenko
145,garden-with-weeping-willow-1888(1),Post Impressionism,vincent-van-gogh
146,portrait-of-a-young-woman(1),Post Impressionism,david-burliuk
147,gilgit-road-1925,Symbolism,nicholas-roerich
148,head-1913,Synthetic Cubism,pablo-picasso
149,sister-of-mercy,Realism,ivan-vladimirov
150,all-are-but-stories-the-rubaiyat-of-omar-khayyam,Art Nouveau Modern,edmund-dulac
151,spring-at-catou-1873,Impressionism,pierre-auguste-renoir
152,forest-4,Realism,ivan-shishkin
153,the-sacrament-of-marriage,Rococo,pietro-longhi
154,landscape-1929,Symbolism,martiros-saryan
155,head-of-a-man(1),Post Impressionism,vincent-van-gogh
156,isolde,Art Nouveau Modern,aubrey-beardsley
157,not,Realism,nikolai-ge
158,the-beach-at-morgat-finistere-1899,Post Impressionism,maxime-maufra
159,not-detected-272518,Expressionism,lynd-ward
160,cupid-with-butterfly-1888,Realism,william-adolphe-bouguereau
161,lydia-field-emmet,Impressionism,william-merritt-chase
162,st-sebastian-intercessor-1465,Early Renaissance,benozzo-gozzoli
163,monhigan-vagueness-1922,Symbolism,nicholas-roerich
164,guga-chohan-kuluta-1931,Symbolism,nicholas-roerich
165,the-alchemist,Baroque,david-teniers-the-younger
166,summer-evening-on-the-porch-1922,Impressionism,konstantin-korovin
167,head-of-a-man,Realism,ilya-repin
168,woman-s-head-in-profile-1912,Naive Art Primitivism,kazimir-malevich
169,anna-akhmatova-1922,Expressionism,zinaida-serebriakova
170,the-holy-georg,Northern Renaissance,albrecht-durer
171,the-merciful-knight-1863,Romanticism,edward-burne-jones
172,mount-m-1931,Symbolism,nicholas-roerich
173,peasant-woman-seen-against-the-window-head-and-whole-figure-1885,Realism,vincent-van-gogh
174,in-the-village-1978,Naive Art Primitivism,grã©goire-michonze
175,salome-in-prison-1876,Symbolism,gustave-moreau
176,summer-1568,Northern Renaissance,pieter-bruegel-the-elder
177,apple-trees-in-blossom-1912,Expressionism,martiros-saryan
178,interior-of-a-kitchen-1644,Baroque,willem-kalf
179,london-whitehall-and-the-privy-garden-looking-north,Baroque,canaletto
180,nature-morte-aux-poires-1928,Expressionism,jean-fautrier
181,portrait-of-mme-lina-cavalieri-1901,Realism,giovanni-boldini
182,boy-with-a-greyhound,Mannerism Late Renaissance,paolo-veronese
183,beer-of-the-meuse-1897,Art Nouveau Modern,alphonse-mucha
184,cityscape,Post Impressionism,panayiotis-tetsis
185,entrance-to-the-port-of-honfleur,Impressionism,claude-monet
186,port-scene,Expressionism,jean-david
187,the-women-friends-1917,Art Nouveau Modern,gustav-klimt
188,amon-s-orchard,Expressionism,neil-welliver
189,steamboats-in-the-port-of-rouen-1896,Impressionism,camille-pissarro
190,diogenes-searching-for-an-honest-man,Baroque,jacob-jordaens
191,in-artist-s-workshop,Romanticism,konstantin-makovsky
192,the-annunciation,High Renaissance,titian
193,beauty-and-sumida-river-edo-meisho-bijin-awase-1820,Ukiyo e,keisai-eisen
194,the-departure,Symbolism,odilon-redon
195,lightning-canoe-lake-1915,Post Impressionism,tom-thomson
196,seated-figure-abstracted-1926,Cubism,willi-baumeister
197,terrace-of-the-royal-palace-in-balchik-1933,Impressionism,vasile-popescu
198,barbara-de-vlaenderberch-1475,Northern Renaissance,hans-memling
199,selo-100-reis,Art Nouveau Modern,eliseu-visconti
200,berendey-s-sloboda-1912,Art Nouveau Modern,nicholas-roerich
201,study-to-pieta-1,High Renaissance,michelangelo
202,lazing-in-the-sand-dunes,Fauvism,stanley-pinker
203,battle-of-alma-1855,Romanticism,theodor-aman
204,woman-with-hat,Expressionism,carlos-orozco-romero
205,dalton-collecting-marsh-fire-gas-1893,Romanticism,ford-madox-brown
206,portrait-of-agostino-barbarigo,Mannerism Late Renaissance,paolo-veronese
207,st-sergius-hermitage-1933,Symbolism,nicholas-roerich
208,portrait-of-georges-de-bellio-1828-94-1894,Impressionism,giovanni-boldini
209,the-pearl-of-the-elephant-from-the-kingdom-of-the-pearl,Art Nouveau Modern,edmund-dulac
210,girl-with-a-rose-1950,Art Nouveau Modern,paul-mathiopoulos
211,a-futurist-evening-in-milan,Expressionism,umberto-boccioni
212,a-baker,Baroque,adriaen-van-ostade
213,corner-of-the-garden-rue-carsal,Impressionism,paul-gauguin
214,mangalia-street-1930,Impressionism,francisc-sirato
215,queen-elisabeth-christine,Rococo,antoine-pesne
216,design-for-a-giant-crossbow-1482,Early Renaissance,leonardo-da-vinci
217,self-portrait-as-a-mature-man-1635(3),Baroque,gian-lorenzo-bernini
218,after-the-attack-dressing-station-near-plevna-1881,Realism,vasily-vereshchagin
219,woman-samurai,Ukiyo e,utagawa-kuniyoshi
220,the-chelsea-pensioners-reading-the-waterloo-dispatch-1822,Romanticism,david-wilkie
221,i-give-you-kyiv-these-polissia-flowers-and-this-bright-sun-1982,Naive Art Primitivism,maria-primachenko
222,vera-sertine-renoir-1914,Impressionism,pierre-auguste-renoir
223,portrait-of-an-unknown-woman,Realism,ilya-repin
224,center-1948,Post Impressionism,nikola-tanev
225,portrait-of-a-young-general-1627,Baroque,anthony-van-dyck
226,break-out-of-zrinyi-1903,Symbolism,tivadar-kosztka-csontvary
227,valencia-two-little-girls-on-a-beach-1904,Impressionism,joaquã­n-sorolla
228,spanish-woman-1910,Fauvism,pyotr-konchalovsky
229,summer-landscape-with-cows-1856,Romanticism,thomas-moran
230,in-the-hospital,Impressionism,camille-pissarro
231,blooming-flamboyant,Impressionism,basuki-abdullah
232,angel-fair,Northern Renaissance,albrecht-durer
233,the-message,Baroque,gerard-terborch
234,granada-sunspots-1912,Impressionism,john-singer-sargent
235,st-john-the-evangelist-1490,Early Renaissance,domenico-ghirlandaio
236,heraclius-restores-the-cross-to-jerusalem-1464(1),Early Renaissance,piero-della-francesca
237,cliffs-at-saint-jouin-1908,Post Impressionism,gustave-loiseau
238,dancer-putting-on-her-slipper-1896,Impressionism,edgar-degas
239,waterfalls-on-the-way-into-nellie-lake,Art Nouveau Modern,franklin-carmichael
240,at-the-edge-of-the-forest-1885,Realism,ivan-shishkin
241,portrait-of-jeanne-gonzales-in-profile,Impressionism,eva-gonzales
242,dishes-and-fruit-on-a-red-and-black-carpet-1901,Post Impressionism,henri-matisse
243,libertina-1995,Abstract Expressionism,frank-stella
244,himalayas-48,Symbolism,nicholas-roerich
245,crucifixion-1565,Mannerism Late Renaissance,tintoretto
246,readers-of-newspapers-in-naples-1831,Romanticism,orest-kiprensky
247,martyr-mercurius-of-smolensk-1918,Art Nouveau Modern,nicholas-roerich
248,the-surrender-of-lord-cornwallis-1820,Romanticism,john-trumbull
249,pieter-cornelisz-van-der-morsch-1616,Baroque,frans-hals
250,n-feminino,Impressionism,mario-zanini
251,gondolier-1905,Realism,john-singer-sargent
252,portrait-of-florence-einstein-1905,Realism,thomas-eakins
253,the-beauty-before-the-mirror,Impressionism,giovanni-boldini
254,cherries,Post Impressionism,theo-van-rysselberghe
255,portrait-of-chaliapin-1921,Impressionism,konstantin-korovin
256,coastal-view-with-barges-1930,Post Impressionism,bela-czobel
257,krefeld-project-bedroom-scene-1,Contemporary Realism,eric-fischl
258,summer,Realism,james-tissot
259,a-little-coaxing-1890,Realism,william-adolphe-bouguereau
260,the-arc-valley-1888,Post Impressionism,paul-cezanne
261,boat-on-a-river-lined-with-trees,Realism,theodore-rousseau
262,mrs-charles-f-st-clair-anstruther-thompson-nee-agnes-1898,Realism,john-singer-sargent
263,portrait-of-octave-raquin-1901,Post Impressionism,henri-de-toulouse-lautrec
264,rotterdam-a-corner-of-the-basin-1877,Impressionism,eugene-boudin
265,fulcrum-1987,Minimalism,richard-serra
266,self-portrait-at-the-age-of-about-twenty,Baroque,joseph-wright
267,drum-de-iarn-prin-p-dure-1960,Impressionism,rudolf-schweitzer-cumpana
268,houses-in-bretania-1,Impressionism,adam-baltatu
269,still-life-with-fruit-dead-game-vegetables-a-live-monkey-squirrel-and-cat,Baroque,frans-snyders
270,self-portrait-1901,Impressionism,valentin-serov
271,portrait-of-victor-chocquet-seated,Impressionism,paul-cezanne
272,not,Abstract Expressionism,paul-jenkins
273,couple-and-basket-with-fruits,Naive Art Primitivism,marc-chagall
274,venice-the-dogana-with-the-giudecca,Baroque,francesco-guardi
275,bosphorus-by-moonlight-1874,Romanticism,ivan-aivazovsky
276,portrait-of-n-vysotskaya,Realism,konstantin-somov
277,misha-go-out-for-a-beer-1926,Fauvism,pyotr-konchalovsky
278,a-girl-with-fruits-1660,Baroque,bartolome-esteban-murillo
279,a-depiction-of-sun-wukong-wielding-his-staff,Ukiyo e,katsushika-hokusai
280,set-design-for-the-ballet-ts-puni-humpbacked-horse-1914,Art Nouveau Modern,konstantin-korovin
281,portrait-of-a-girl-1913,Romanticism,alphonse-mucha
282,harper-pennington-1882,Impressionism,james-mcneill-whistler
283,chateau-du-chillon-1875,Realism,gustave-courbet
284,design-for-the-austrian-jubilee-stamp-with-view-of-the-vienna-hofburg-1908,Art Nouveau Modern,koloman-moser
285,woman-washing-clothes-in-river,Impressionism,henri-martin
286,portrait-of-vera-nikolaevna-tretyakova-1876,Realism,ivan-kramskoy
287,portrait-of-a-gentlewoman-1519,High Renaissance,correggio
288,marie-louise-durand-ruel-1898,Impressionism,pierre-auguste-renoir
289,still-life-1919,Cubism,fernand-leger
290,pertuiset-lion-hunter-1881,Realism,edouard-manet
291,the-red-blood-of-garibaldi-1914,Art Nouveau Modern,sergey-solomko
292,dancer-seated-study-1872,Impressionism,edgar-degas
293,conversion-of-st-paul-1567,Northern Renaissance,pieter-bruegel-the-elder
294,sfp83-52-1983,Color Field Painting,sam-francis
295,a-hand-with-flowers,Impressionism,mikhail-nesterov
296,portrait-of-the-abbot-sartori-1818,Romanticism,orest-kiprensky
297,still-life-and-woman,Realism,pericles-pantazis
298,the-abduction-of-sampo-1905,Expressionism,akseli-gallen-kallela
299,shared-space-2004,Minimalism,genevieve-asse
300,untitled,Minimalism,john-mccracken
301,baerte-martens-wife-of-herman-doomer,Baroque,rembrandt
302,richensa-of-lotharingia,Romanticism,jan-matejko
303,still-liife-with-china-vase-copper-pot-an-apple-and-a-bunch-of-grapes,Impressionism,william-merritt-chase
304,untitled-1967,Color Field Painting,helen-frankenthaler
305,the-proportions-of-the-human-figure-the-vitruvian-man-1492,High Renaissance,leonardo-da-vinci
306,standing-woman-in-kimono-dame-im-kimono-1918,Art Nouveau Modern,gustav-klimt
307,catherine-gavrilovna-gagarina,Rococo,vladimir-borovikovsky
308,siphon-and-small-bottle-of-rum,Cubism,salvador-dali
309,the-brook-greenwich-connecticut-aka-horseneck-falls-greenwich-connecticut-1900,Impressionism,john-henry-twachtman
310,feeling,Baroque,adriaen-brouwer
311,da-mihi-bibere-ecclesiastes-12-1-1967,Symbolism,salvador-dali
312,portrait-of-dr-ferdinand-tribout-1910,Post Impressionism,marcel-duchamp
313,john-the-baptist-baptizing-people-1819,Romanticism,orest-kiprensky
314,birds,Naive Art Primitivism,grã©goire-michonze
315,still-life-with-lemons-1943,Expressionism,henri-matisse
316,royal-and-nobleman-clothing-of-the-xvii-century,Romanticism,fyodor-solntsev
317,bordeaux-boats-on-the-garonne,Impressionism,eugene-boudin
318,portrait-of-i-ivanova-1926,Realism,boris-kustodiev
319,zaporozhets,Realism,ilya-repin
320,margitka-1938,Post Impressionism,bertalan-por
321,the-immaculate-1630,Baroque,jusepe-de-ribera
322,john-biglin-in-a-single-scull-1874-1,Realism,thomas-eakins
323,marioara-the-daughter-of-the-painter,Romanticism,gheorghe-tattarescu
324,the-ship-thrown-on-the-rocks-1874,Romanticism,ivan-aivazovsky
325,the-rainbow-1961,Naive Art Primitivism,grandma-moses
326,portrait-of-an-old-man-in-red-1654,Baroque,rembrandt
327,bed-time-1922,Post Impressionism,grace-cossington-smith
328,ocean-park-no-19,Color Field Painting,richard-diebenkorn
329,a-stonemason,Realism,jean-francois-millet
330,w-graham-robertson-1894,Realism,john-singer-sargent
331,self-portrait-1788,Rococo,joshua-reynolds
332,drawing-a-picture-of-the-witch-1908,Symbolism,kuzma-petrov-vodkin
333,ashtarak-in-hazy-day-1954,Post Impressionism,martiros-saryan
334,route-du-fond-in-hermitage-pontoise-1877,Impressionism,camille-pissarro
335,landscape-1912,Post Impressionism,paul-serusier
336,portrieux-boats-at-anchor-in-port-1873,Impressionism,eugene-boudin
337,an-italian-garden,Impressionism,william-merritt-chase
338,console-with-two-windows-1948,Naive Art Primitivism,raoul-dufy
339,neskuchnoye-field-1912,Impressionism,zinaida-serebriakova
340,the-angel-standing-in-the-sun,Romanticism,william-turner
341,self-portrait-1856,Romanticism,fyodor-bronnikov
342,coconut-beach,Contemporary Realism,john-miller
343,sketch-of-lamp-and-tsar-cannon-for-rimsky-korsakovs-opera-1919,Symbolism,nicholas-roerich
344,view-of-ischl-1830,Romanticism,rudolf-von-alt
345,poplars-a-moret-sur-loing-an-august-afternoon-1888,Impressionism,alfred-sisley
346,the-siphon-1913,Synthetic Cubism,juan-gris
347,landscape-sketch-1917,Impressionism,pierre-auguste-renoir
348,voivode-1913,Art Nouveau Modern,nicholas-roerich
349,portrait-of-willem-van-heythuysen,Baroque,frans-hals
350,home-1953,Abstract Expressionism,elaine-de-kooning
351,madonna-of-the-sea(1),Early Renaissance,sandro-botticelli
352,still-life-with-watermelon,Naive Art Primitivism,fernando-botero
353,toros-1950,Cubism,oscar-dominguez
354,amateur-1862,Realism,vasily-perov
355,portrait-of-pauline-ono-1844,Realism,jean-francois-millet
356,sailing-boat-on-the-tegernsee,Expressionism,august-macke
357,in-ballet-dressing-room-1924,Art Nouveau Modern,zinaida-serebriakova
358,portrait-of-worker-yakobchenko-1938,Realism,pyotr-konchalovsky
359,the-pedestal-1938,Cubism,georges-braque
360,blue-house-1920,Art Nouveau Modern,boris-kustodiev
361,autumn-young-woman-in-a-garden-1891,Impressionism,konstantin-korovin
362,the-three-graces,Art Nouveau Modern,michel-simonidy
363,venus-between-terminal-gods-1895,Art Nouveau Modern,aubrey-beardsley
364,berkeley-no-33,Abstract Expressionism,richard-diebenkorn
365,profile-of-a-girl-preparatory-work-for-a-decorative-stain-in-red-and-green-1897,Art Nouveau Modern,koloman-moser
366,the-village-of-knocke-belgium-1894,Impressionism,camille-pissarro
367,landsknecht-with-halberd-1897,Symbolism,ferdinand-hodler
368,god-the-father,Rococo,giovanni-domenico-tiepolo
369,the-tempest-1851,Romanticism,ivan-aivazovsky
370,untitled-1946,Abstract Expressionism,barnett-newman
371,blue-bird-bird-sirin,Art Nouveau Modern,sergey-solomko
372,banks-of-a-pond-in-normandy,Realism,camille-corot
373,the-arsenal-the-water-entrance,Rococo,canaletto
374,clowns-skula-and-yeroshka-1914,Art Nouveau Modern,nicholas-roerich
375,miss-robinson-mrs-fernandez-1866,Romanticism,dante-gabriel-rossetti
376,elizabeth-siddall-plaiting-her-hair,Romanticism,dante-gabriel-rossetti
377,other-laws-by-the-people-or-beast-absurdity-1823,Romanticism,francisco-goya
378,knight-1912,Art Nouveau Modern,nicholas-roerich
379,the-ambassadors-1533,Northern Renaissance,hans-holbein-the-younger
380,amsterdam-the-market-of-iron-1913,Post Impressionism,anna-ostroumova-lebedeva
381,hurricane-at-the-sea-1850,Romanticism,ivan-aivazovsky
382,philip-iv-of-spain-in-brown-and-silver-1632,Baroque,diego-velazquez
383,head-of-a-faun-in-a-concave-1595,Baroque,agostino-carracci
384,the-plague-1898,Symbolism,arnold-bã¶cklin
385,women-of-concarneau-1879,Realism,peder-severin-kroyer
386,dr-ephraim-bueno-jewish-physician-and-writer-1647,Baroque,rembrandt
387,the-langlois-bridge-at-arles-1888,Post Impressionism,vincent-van-gogh
388,an-allegory-with-venus-and-cupid,Mannerism Late Renaissance,agnolo-bronzino
389,as-you-like-it,Romanticism,adolphe-joseph-thomas-monticelli
390,william-lamb-2nd-viscount-melbourne,Romanticism,edwin-henry-landseer
391,v-r-s-szentek,Naive Art Primitivism,bela-kadar
392,brothel-1932,Expressionism,arturo-souto
393,shichiri-beach-in-sagami-province,Ukiyo e,katsushika-hokusai
394,scenes-from-the-lives-of-sts-lawrence-and-stephen-1449,Early Renaissance,fra-angelico
395,labzin-anna-evdokimovna,Rococo,vladimir-borovikovsky
396,the-smoker-1890,Post Impressionism,paul-cezanne
397,sun-sonata-1983,Color Field Painting,gene-davis
398,gray-and-brass-1907,New Realism,john-french-sloan
399,mimosas-1939,Post Impressionism,moise-kisling
400,john-f-kennedy-1963-1,Expressionism,elaine-de-kooning
401,portrait-of-a-woman-1917,Expressionism,george-bouzianis
402,pumpkin-leaves-drooping-1926,Post Impressionism,grace-cossington-smith
403,street-in-ville-d-avray-1873,Impressionism,alfred-sisley
404,moroccan-door-1991,Color Field Painting,howard-hodgkin
405,james-the-late-emperor-of-the-devil-is-stopped-the-illusions-of-a-magician-1565,Northern Renaissance,pieter-bruegel-the-elder
406,the-annunciation-to-manoah-s-wife-1558,Mannerism Late Renaissance,tintoretto
407,ivory-sculpture,Art Nouveau Modern,raphael-kirchner
408,chief-procurator-of-the-synod-k-pobedonostsev-1906,Realism,boris-kustodiev
409,maternity-child-with-a-biscuit-1887,Impressionism,pierre-auguste-renoir
410,the-imperial-summer-residence-courtyard-view-from-north-1758,Rococo,bernardo-bellotto
411,wheat-fields-at-auvers-under-clouded-sky-1890,Post Impressionism,vincent-van-gogh
412,woman-with-flower-portrait-study-1920,Cubism,fernand-leger
413,snow-1874,Realism,gustave-courbet
414,girl-student-1883-1,Realism,mykola-yaroshenko
415,portrait-of-alexandr-griboyedov,Realism,ivan-kramskoy
416,susanna-and-the-elders,Symbolism,gustave-moreau
417,cottages-and-cypresses-reminiscence-of-the-north-1890(1),Post Impressionism,vincent-van-gogh
418,moses-spreads-the-darkness-over-egypt-1931,Naive Art Primitivism,marc-chagall
419,the-death-of-general-wolfe-detail,Rococo,benjamin-west
420,unknown-title-10,Post Impressionism,vladimir-dimitrov
421,two-women,Post Impressionism,le-pho
422,ship-1906,Symbolism,mikalojus-ciurlionis
423,the-model-by-the-stove-1917,Cubism,pyotr-konchalovsky
424,the-day-of-the-dead-1944,Naive Art Primitivism,diego-rivera
425,still-life,Naive Art Primitivism,fernando-botero
426,early-morning-rocky-mountains,Art Nouveau Modern,j.-e.-h.-macdonald
427,eatables-moscow-meat-poultry-1924,Realism,ilya-mashkov
428,sleeping-nude,Contemporary Realism,lucian-freud
429,lamentation-for-the-dead-christ-1498,Northern Renaissance,albrecht-durer
430,untitled-sikkim,Symbolism,nicholas-roerich
431,portrait-of-pope-innocent-x-1650,Baroque,diego-velazquez
