,Art,Movement,artist,Year,nationality,StyleClassLabel,genre
83,snowy-landscape-with-the-old-tower-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,sketch_and_study
84,man-praying-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,genre_painting
85,park-at-asnieres-in-spring-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,landscape
86,cottages-in-saintes-maries-1888(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
87,woman-sitting-on-a-basket-sewing-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,genre_painting
88,two-cypresses-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,landscape
89,vase-with-zinnias-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,
90,peasant-woman-carrying-a-sheaf-of-grain-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
91,lower-part-of-the-windmill-de-laakmolen-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,landscape
92,dunes-1882(1),Realism,Vincent_van_Gogh,,Dutch,Realism,landscape
93,woman-with-a-broom-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,sketch_and_study
94,peach-trees-in-blossom-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
95,woman-mending-stockings-1881,Realism,Vincent_van_Gogh,1881,Dutch,Realism,genre_painting
96,weaver-facing-left-1884-1,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
97,dunes-with-figures-1882-1(1),Realism,Vincent_van_Gogh,,Dutch,Realism,genre_painting
98,studies-of-the-interior-of-a-cottage-and-a-sketch-of-the-potato-eaters-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
99,sheet-with-figures-and-hands-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
100,orphan-man-with-umbrella-seen-from-the-back-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,portrait
101,avenue-of-plane-trees-near-arles-station-1888(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
102,two-diggers-among-trees-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,genre_painting
103,figures-in-a-park-1886(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
104,man-standing-reading-a-book-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,genre_painting
105,portrait-of-woman-in-blue-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,portrait
106,woman-shelling-peas-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,genre_painting
107,head-of-an-angel-after-rembrandt-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,religious_painting
108,couple-walking-between-rows-of-trees-1890(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
109,seated-man-with-a-beard-1886-1,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
110,portrait-possibly-of-willemien-van-gogh-1881,Realism,Vincent_van_Gogh,1881,Dutch,Realism,portrait
111,evening-the-end-of-the-day-after-millet-1889(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,genre_painting
112,soup-distribution-in-a-public-soup-kitchen-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,genre_painting
113,pollard-willow-1881,Realism,Vincent_van_Gogh,1881,Dutch,Realism,landscape
114,peasant-burning-weeds-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,genre_painting
115,a-lane-near-arles-1888(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
116,the-thresher-after-millet-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,genre_painting
117,newly-mowed-lawn-with-weeping-tree-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
118,landscape-with-snow-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
119,sun-disk-above-a-path-between-shrubs-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
120,vase-with-carnations-and-bottle-1886,Realism,Vincent_van_Gogh,1886,Dutch,Realism,still_life
121,banks-of-the-seine-in-the-spring-1887(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
122,a-group-of-cottages-1890(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
123,cottages-and-cypresses-reminiscence-of-the-north-1890(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
124,orchard-in-blossom-with-two-figures-spring-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,sketch_and_study
125,plaster-statuette-of-a-kneeling-man-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,still_life
126,the-garden-of-saint-paul-hospital-1889-2,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,cityscape
127,self-portrait-with-bandaged-ear-1889-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,
128,trunk-of-an-old-yew-tree-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
129,snowy-landscape-with-arles-in-the-background-1888-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
130,self-portrait-1887-8,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,
131,head-of-a-peasant-woman-with-white-cap-1885-3(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
132,still-life-with-apples-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,still_life
133,head-of-a-peasant-woman-with-white-cap-1885-4(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
134,edge-of-a-wood-1882(1),Realism,Vincent_van_Gogh,,Dutch,Realism,landscape
135,man-carrying-peat-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,sketch_and_study
136,les-alyscamps-1888(2),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,cityscape
137,people-strolling-on-the-beach-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,genre_painting
138,the-angelus-after-millet-1880,Realism,Vincent_van_Gogh,1880,Dutch,Realism,genre_painting
139,head-of-a-man-3(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
140,le-moulin-de-la-galette-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,sketch_and_study
141,entrance-to-a-quarry-near-saint-remy-1889(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
142,man-writing-facing-left-1881,Realism,Vincent_van_Gogh,1881,Dutch,Realism,sketch_and_study
143,the-vicarage-at-nuenen-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,landscape
144,plaster-statuette-of-a-female-torso-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,still_life
145,still-life-with-earthenware-bottle-and-clogs-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,still_life
146,torso-of-venus-4,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
147,corinthian-capital-1863(1),Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
148,orphan-man-with-top-hat-standing-near-the-stove-seen-from-the-back-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,sketch_and_study
149,two-hands,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
150,olive-trees-against-a-slope-of-a-hill-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,landscape
151,two-crabs-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,
152,village-street-sketch-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
153,seated-woman-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
154,venus-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
155,cottages-1883(1),Realism,Vincent_van_Gogh,,Dutch,Realism,landscape
156,irises-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,landscape
157,ears-of-wheat-1890(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
158,cottage(1),Realism,Vincent_van_Gogh,,Dutch,Realism,landscape
159,four-people-sharing-a-meal-1885(1),Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
160,vase-with-gladioli-and-carnations-1886-1,Realism,Vincent_van_Gogh,,Dutch,Realism,
161,farmhouses-in-loosduinen-near-the-hague-at-twilight-1883(1),Realism,Vincent_van_Gogh,,Dutch,Realism,landscape
162,orphan-man-with-long-overcoat-glass-and-handkerchief-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,portrait
163,portrait-of-dr-felix-rey-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,portrait
164,st-martin-s-church-at-tongelre-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
165,watermill-at-gennep-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,landscape
166,plaster-statuette-of-a-female-torso-1886-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,still_life
167,le-moulin-de-la-galette-4-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,cityscape
168,wheatfield-with-crows-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,landscape
169,vincent-s-bedroom-in-arles-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,
170,enclosed-field-with-ploughman-1889(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
171,boy-with-cap-and-clogs(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
172,sale-of-building-scrap-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
173,peasant-woman-peeling-potatoes-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,genre_painting
174,wheat-field-with-sun-and-cloud-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,sketch_and_study
175,vase-with-asters-salvia-and-other-flowers-1886,Realism,Vincent_van_Gogh,1886,Dutch,Realism,
176,watermill-in-kollen-near-nuenen-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,landscape
177,head-of-a-fisherman-with-a-sou-wester-1883(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
178,head-of-a-peasant-woman(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
179,station-in-the-hague-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,cityscape
180,bird-s-eye-view-of-saint-remy-1889(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
181,orphan-man-with-cap-half-length-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,portrait
182,pine-trees-near-the-wall-of-the-asylum-1889-2,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
183,head-of-a-peasant-woman-with-dark-cap-1885-6(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
184,peasant-woman-bending-over-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
185,pine-trees-in-front-of-the-wall-of-the-asylum-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,sketch_and_study
186,wheat-field-with-trees-and-mower-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
187,wheat-field-with-sheaves-and-arles-in-the-background-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,sketch_and_study
188,factories-seen-from-a-hillside-in-moonlight-1887(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
189,peasant-woman-sitting-by-the-fire-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
190,a-pair-of-shoes-1887-1(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,still_life
191,peasant-woman-head-1885-1,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
192,women-mending-nets-in-the-dunes-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,genre_painting
193,vase-with-flowers-coffeepot-and-fruit-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,still_life
194,three-people-sharing-a-meal-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
195,view-of-paris-from-montmartre-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,
196,standing-man-seen-from-the-back-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,sketch_and_study
197,miners-in-the-snow-at-dawn-1880,Realism,Vincent_van_Gogh,1880,Dutch,Realism,sketch_and_study
198,scheveningen-woman-knitting-1881,Realism,Vincent_van_Gogh,1881,Dutch,Realism,genre_painting
199,vicarage-and-church-at-etten-1876,Realism,Vincent_van_Gogh,1876,Dutch,Realism,sketch_and_study
200,two-hands-and-two-arms,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
201,studies-for-figures-carrying-bundles-of-wood-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
202,entrance-to-the-public-garden-in-arles-1888(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,cityscape
203,nude-woman-reclining-seen-from-the-back-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,nude_painting
204,reaper-1885-1,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
205,peasant-woman-planting-potatoes-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
206,backyards-of-old-houses-in-antwerp-in-the-snow-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,cityscape
207,baby(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
208,sien-with-umbrella-and-prayer-book-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,genre_painting
209,plaster-statuette-of-a-female-torso-1886-3,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,still_life
210,public-garden-with-a-couple-and-a-blue-fir-tree-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,sketch_and_study
211,lilac-bush-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,landscape
212,mask-of-an-egyptian-mummy-3-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,sketch_and_study
213,still-life-bowl-with-daisies-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,
214,the-reaper-after-millet-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,genre_painting
215,idol-1,Realism,Vincent_van_Gogh,,Dutch,Realism,nude_painting
216,peasant-with-sickle-seen-from-the-back-1885-3,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
217,portrait-of-doctor-gachet-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,portrait
218,head-of-a-man-with-cap-1885(1),Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
219,violinist-seen-from-the-front-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,sketch_and_study
220,plaster-torso-of-a-woman-seen-from-the-side-1886,Realism,Vincent_van_Gogh,1886,Dutch,Realism,sketch_and_study
221,sketch-of-a-right-arm-and-shoulder-1886,Realism,Vincent_van_Gogh,1886,Dutch,Realism,sketch_and_study
222,the-smoker-peasant-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,portrait
223,the-starry-night-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,sketch_and_study
224,arles-view-from-the-wheat-fields-1888(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
225,pollard-birches-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,landscape
226,red-vineyards-at-arles-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
227,sowers-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
228,woman-with-white-shawl-in-a-wood-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,genre_painting
229,the-gleize-bridge-over-the-vigneyret-canal-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
230,three-peasants-with-spades-on-a-road-in-the-rain-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
231,a-pair-of-shoes-1886(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,still_life
232,standing-male-and-seated-female-nudes,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,nude_painting
233,view-of-paris-with-notre-dame-and-the-pantheon-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,sketch_and_study
234,violinist-seen-from-the-back-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,sketch_and_study
235,building-in-eindhoven-the-weigh-house-1885(1),Realism,Vincent_van_Gogh,,Dutch,Realism,cityscape
236,wheat-field-with-sheaves-and-a-windmill-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
237,the-spire-of-the-church-of-our-lady-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
238,the-outskirts-of-paris-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,genre_painting
239,sower-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,genre_painting
240,the-gully-peiroulets-1889-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,landscape
241,outskirts-of-paris-near-montmartre-1887-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,cityscape
