,Movement,Artwork,Year,Artist_Name
132,Post_Impressionism,still-life-with-apples,1887,Vincent_van_Gogh
135,Realism,man-carrying-peat,1882,Vincent_van_Gogh
137,Realism,people-strolling-on-the-beach,1882,Vincent_van_Gogh
138,Realism,the-angelus-after-millet,1880,Vincent_van_Gogh
140,Post_Impressionism,le-moulin-de-la-galette,1886,Vincent_van_Gogh
142,Realism,man-writing-facing-left,1881,Vincent_van_Gogh
143,Realism,the-vicarage-at-nuenen,1885,Vincent_van_Gogh
144,Post_Impressionism,plaster-statuette-of-a-female-torso,1887,Vincent_van_Gogh
145,Realism,still-life-with-earthenware-bottle-and-clogs,1885,Vincent_van_Gogh
148,Realism,orphan-man-with-top-hat-standing-near-the-stove-seen-from-the-back,1882,Vincent_van_Gogh
150,Post_Impressionism,olive-trees-against-a-slope-of-a-hill,1889,Vincent_van_Gogh
151,Post_Impressionism,two-crabs,1889,Vincent_van_Gogh
152,Post_Impressionism,village-street-sketch,1890,Vincent_van_Gogh
153,Realism,seated-woman,1885,Vincent_van_Gogh
156,Post_Impressionism,irises,1889,Vincent_van_Gogh
162,Realism,orphan-man-with-long-overcoat-glass-and-handkerchief,1882,Vincent_van_Gogh
163,Post_Impressionism,portrait-of-dr-felix-rey,1889,Vincent_van_Gogh
164,Realism,st-martin-s-church-at-tongelre,1885,Vincent_van_Gogh
165,Realism,watermill-at-gennep,1884,Vincent_van_Gogh
167,Post_Impressionism,le-moulin-de-la-galette-4,1886,Vincent_van_Gogh
168,Post_Impressionism,wheatfield-with-crows,1890,Vincent_van_Gogh
169,Post_Impressionism,vincent-s-bedroom-in-arles,1888,Vincent_van_Gogh
172,Realism,sale-of-building-scrap,1885,Vincent_van_Gogh
173,Realism,peasant-woman-peeling-potatoes,1885,Vincent_van_Gogh
174,Post_Impressionism,wheat-field-with-sun-and-cloud,1889,Vincent_van_Gogh
175,Realism,vase-with-asters-salvia-and-other-flowers,1886,Vincent_van_Gogh
176,Realism,watermill-in-kollen-near-nuenen,1884,Vincent_van_Gogh
179,Realism,station-in-the-hague,1882,Vincent_van_Gogh
181,Realism,orphan-man-with-cap-half-length,1883,Vincent_van_Gogh
184,Realism,peasant-woman-bending-over,1885,Vincent_van_Gogh
185,Post_Impressionism,pine-trees-in-front-of-the-wall-of-the-asylum,1889,Vincent_van_Gogh
186,Realism,wheat-field-with-trees-and-mower,1885,Vincent_van_Gogh
187,Post_Impressionism,wheat-field-with-sheaves-and-arles-in-the-background,1888,Vincent_van_Gogh
189,Realism,peasant-woman-sitting-by-the-fire,1885,Vincent_van_Gogh
192,Realism,women-mending-nets-in-the-dunes,1882,Vincent_van_Gogh
193,Post_Impressionism,vase-with-flowers-coffeepot-and-fruit,1887,Vincent_van_Gogh
194,Realism,three-people-sharing-a-meal,1885,Vincent_van_Gogh
195,Post_Impressionism,view-of-paris-from-montmartre,1886,Vincent_van_Gogh
196,Post_Impressionism,standing-man-seen-from-the-back,1886,Vincent_van_Gogh
197,Realism,miners-in-the-snow-at-dawn,1880,Vincent_van_Gogh
198,Realism,scheveningen-woman-knitting,1881,Vincent_van_Gogh
199,Realism,vicarage-and-church-at-etten,1876,Vincent_van_Gogh
201,Realism,studies-for-figures-carrying-bundles-of-wood,1885,Vincent_van_Gogh
203,Post_Impressionism,nude-woman-reclining-seen-from-the-back,1887,Vincent_van_Gogh
205,Realism,peasant-woman-planting-potatoes,1885,Vincent_van_Gogh
206,Realism,backyards-of-old-houses-in-antwerp-in-the-snow,1885,Vincent_van_Gogh
208,Realism,sien-with-umbrella-and-prayer-book,1882,Vincent_van_Gogh
210,Post_Impressionism,public-garden-with-a-couple-and-a-blue-fir-tree,1888,Vincent_van_Gogh
211,Post_Impressionism,lilac-bush,1889,Vincent_van_Gogh
212,Post_Impressionism,mask-of-an-egyptian-mummy-3,1889,Vincent_van_Gogh
213,Post_Impressionism,still-life-bowl-with-daisies,1888,Vincent_van_Gogh
214,Post_Impressionism,the-reaper-after-millet,1889,Vincent_van_Gogh
217,Post_Impressionism,portrait-of-doctor-gachet,1890,Vincent_van_Gogh
219,Post_Impressionism,violinist-seen-from-the-front,1887,Vincent_van_Gogh
220,Realism,plaster-torso-of-a-woman-seen-from-the-side,1886,Vincent_van_Gogh
221,Realism,sketch-of-a-right-arm-and-shoulder,1886,Vincent_van_Gogh
222,Post_Impressionism,the-smoker-peasant,1888,Vincent_van_Gogh
223,Post_Impressionism,the-starry-night,1888,Vincent_van_Gogh
225,Realism,pollard-birches,1884,Vincent_van_Gogh
226,Post_Impressionism,red-vineyards-at-arles,1888,Vincent_van_Gogh
227,Post_Impressionism,sowers,1890,Vincent_van_Gogh
228,Realism,woman-with-white-shawl-in-a-wood,1882,Vincent_van_Gogh
229,Post_Impressionism,the-gleize-bridge-over-the-vigneyret-canal,1888,Vincent_van_Gogh
230,Post_Impressionism,three-peasants-with-spades-on-a-road-in-the-rain,1890,Vincent_van_Gogh
233,Post_Impressionism,view-of-paris-with-notre-dame-and-the-pantheon,1886,Vincent_van_Gogh
234,Post_Impressionism,violinist-seen-from-the-back,1887,Vincent_van_Gogh
236,Realism,wheat-field-with-sheaves-and-a-windmill,1885,Vincent_van_Gogh
237,Realism,the-spire-of-the-church-of-our-lady,1885,Vincent_van_Gogh
238,Post_Impressionism,the-outskirts-of-paris,1886,Vincent_van_Gogh
239,Realism,sower,1884,Vincent_van_Gogh
242,Post_Impressionism,the-old-peasant-patience-escalier-with-walking-stick-half-figure,1888,Vincent_van_Gogh
244,Post_Impressionism,road-with-men-walking-carriage-cypress-star-and-crescent-moon,1890,Vincent_van_Gogh
246,Post_Impressionism,the-garden-of-saint-paul-hospital-with-figure,1889,Vincent_van_Gogh
248,Realism,parsonage-garden,1884,Vincent_van_Gogh
250,Post_Impressionism,path-in-the-park-at-arles,1888,Vincent_van_Gogh
251,Post_Impressionism,still-life-pink-roses,1890,Vincent_van_Gogh
252,Realism,weed-burner-sitting-on-a-wheelbarrow-with-his-wife,1883,Vincent_van_Gogh
253,Realism,orphan-man-standing,1882,Vincent_van_Gogh
255,Realism,peasant-woman-lifting-potatoes-6,1885,Vincent_van_Gogh
257,Realism,potato-harvest-with-two-figures,1884,Vincent_van_Gogh
258,Realism,peasant-woman-lifting-potatoes,1885,Vincent_van_Gogh
259,Realism,sien-with-cigar-sitting-on-the-floor-near-stove,1882,Vincent_van_Gogh
260,Post_Impressionism,mountains-at-saint-remy-with-dark-cottage,1889,Vincent_van_Gogh
262,Post_Impressionism,pine-trees-in-front-of-the-wall-of-the-asylum-4,1889,Vincent_van_Gogh
263,Realism,interior-with-peasant-woman-sitting-near-the-fireplace,1885,Vincent_van_Gogh
264,Realism,head-of-a-young-peasant-in-a-peaked-cap,1885,Vincent_van_Gogh
266,Post_Impressionism,l-ecorche-and-borghese-gladiator,1887,Vincent_van_Gogh
267,Post_Impressionism,the-drinkers-after-daumier,1890,Vincent_van_Gogh
268,Post_Impressionism,plain-near-auvers,1890,Vincent_van_Gogh
269,Post_Impressionism,the-courtyard-of-the-hospital-in-arles,1889,Vincent_van_Gogh
278,Post_Impressionism,nude-woman-squatting-over-a-basin,1887,Vincent_van_Gogh
280,Realism,woman-s-head,1883,Vincent_van_Gogh
281,Post_Impressionism,still-life-with-mussels-and-shrimp,1886,Vincent_van_Gogh
283,Realism,woman-sewing-with-a-girl,1883,Vincent_van_Gogh
285,Realism,the-parsonage-garden-at-nuenen-in-the-snow,1885,Vincent_van_Gogh
286,Post_Impressionism,the-church-at-auvers,1890,Vincent_van_Gogh
287,Post_Impressionism,olive-trees-bright-blue-sky,1889,Vincent_van_Gogh
288,Realism,peasant-woman-digging-seen-from-the-side,1885,Vincent_van_Gogh
289,Realism,winter-garden,1884,Vincent_van_Gogh
294,Post_Impressionism,view-of-arles-from-a-hill,1888,Vincent_van_Gogh
295,Realism,head-of-a-woman,1884,Vincent_van_Gogh
298,Post_Impressionism,vincent-s-house,1888,Vincent_van_Gogh
300,Realism,weaver,1884,Vincent_van_Gogh
302,Post_Impressionism,standing-female-nude-seen-from-the-side,1886,Vincent_van_Gogh
303,Post_Impressionism,interior-of-a-restaurant,1887,Vincent_van_Gogh
305,Post_Impressionism,six-sketches-of-figures-among-others-a-man-sowing-wheat,1890,Vincent_van_Gogh
307,Realism,peasant-woman-standing-near-a-ditch-or-pool,1885,Vincent_van_Gogh
308,Post_Impressionism,orchard-with-blossoming-plum-trees-the-white-orchard,1888,Vincent_van_Gogh
309,Post_Impressionism,view-of-paris-from-vincent-s-room-in-the-rue-lepic,1887,Vincent_van_Gogh
310,Post_Impressionism,vase-with-lilacs-daisies-and-anemones,1887,Vincent_van_Gogh
311,Post_Impressionism,sketch-of-a-lady-with-striped-dress-and-hat-and-of-another-lady-half-figure,1890,Vincent_van_Gogh
312,Realism,sand-diggers-in-dekkersduin-near-the-hague,1883,Vincent_van_Gogh
315,Post_Impressionism,the-restaurant-de-la-sirene-at-asnieres,1887,Vincent_van_Gogh
317,Post_Impressionism,pine-trees-along-a-road-to-a-house,1889,Vincent_van_Gogh
318,Post_Impressionism,landscape-with-three-trees-and-a-house,1890,Vincent_van_Gogh
320,Post_Impressionism,wheat-fields-with-stacks,1888,Vincent_van_Gogh
322,Post_Impressionism,still-life-with-four-sunflowers,1887,Vincent_van_Gogh
323,Post_Impressionism,vincent-s-bedroom-in-arles,1889,Vincent_van_Gogh
327,Realism,ploughman-and-three-women,1883,Vincent_van_Gogh
329,Post_Impressionism,portrait-of-madame-ginoux-l-arlesienne,1890,Vincent_van_Gogh
331,Post_Impressionism,two-peasants-diging-after-millet,1889,Vincent_van_Gogh
332,Post_Impressionism,orchard-with-blossoming-plum-trees,1888,Vincent_van_Gogh
333,Realism,melancholy,1883,Vincent_van_Gogh
336,Post_Impressionism,woman-walking-her-dog,1886,Vincent_van_Gogh
337,Post_Impressionism,windmill-on-montmartre,1886,Vincent_van_Gogh
340,Realism,peasant-woman-two-heads,1885,Vincent_van_Gogh
342,Post_Impressionism,white-house-at-night,1890,Vincent_van_Gogh
345,Post_Impressionism,roses-and-beetle,1890,Vincent_van_Gogh
348,Realism,seated-woman-3,1885,Vincent_van_Gogh
351,Post_Impressionism,the-seine-bridge-at-asnieres,1887,Vincent_van_Gogh
352,Realism,woman-churning-butter,1881,Vincent_van_Gogh
353,Post_Impressionism,wheat-field-with-the-alpilles-foothills-in-the-background,1888,Vincent_van_Gogh
356,Realism,orphan-man-with-cap-head,1883,Vincent_van_Gogh
358,Post_Impressionism,view-of-paris-from-near-montmartre,1886,Vincent_van_Gogh
359,Post_Impressionism,the-factory-at-asnieres,1887,Vincent_van_Gogh
360,Realism,straw-hats-at-dusk,1885,Vincent_van_Gogh
361,Realism,woman-with-white-bonnet-sien-s-mother,1882,Vincent_van_Gogh
364,Realism,woman-grinding-coffee,1881,Vincent_van_Gogh
369,Post_Impressionism,red-poppies-and-daisies,1890,Vincent_van_Gogh
371,Realism,sorrow,1882,Vincent_van_Gogh
375,Realism,water-wheels-of-mill-at-gennep,1884,Vincent_van_Gogh
376,Post_Impressionism,the-voyer-d-argenson-park-in-asnieres,1887,Vincent_van_Gogh
378,Post_Impressionism,window-of-vincent-s-studio-at-the-asylum,1889,Vincent_van_Gogh
379,Realism,peasant-woman-with-broom,1885,Vincent_van_Gogh
380,Post_Impressionism,still-life-with-a-basket-of-crocuses,1887,Vincent_van_Gogh
381,Realism,woman-with-a-mourning-shawl,1885,Vincent_van_Gogh
383,Post_Impressionism,young-man-with-a-hat,1888,Vincent_van_Gogh
384,Post_Impressionism,portrait-of-adeline-ravoux,1890,Vincent_van_Gogh
385,Realism,torso-of-venus,1887,Vincent_van_Gogh
389,Realism,weaver-near-an-open-window,1884,Vincent_van_Gogh
390,Post_Impressionism,hind-legs-of-a-horse,1890,Vincent_van_Gogh
394,Realism,old-man-reeling-yarn,1884,Vincent_van_Gogh
395,Realism,miners-women-carrying-sacks-the-bearers-of-the-burden,1881,Vincent_van_Gogh
397,Post_Impressionism,landscape-with-carriage-and-train,1890,Vincent_van_Gogh
398,Post_Impressionism,snowy-landscape-with-arles-in-the-background,1888,Vincent_van_Gogh
399,Post_Impressionism,wheatfields-under-thunderclouds,1890,Vincent_van_Gogh
401,Post_Impressionism,strollers-and-onlookers-at-a-place-of-entertainment,1887,Vincent_van_Gogh
404,Realism,the-bench,1882,Vincent_van_Gogh
405,Realism,head-of-a-woman,1882,Vincent_van_Gogh
406,Post_Impressionism,vase-with-zinnias-and-geraniums,1886,Vincent_van_Gogh
408,Realism,view-on-the-singel-in-amsterdam,1885,Vincent_van_Gogh
413,Post_Impressionism,railway-carriages,1888,Vincent_van_Gogh
414,Post_Impressionism,vase-of-hollyhocks,1886,Vincent_van_Gogh
418,Realism,man-and-woman-seen-from-the-back,1882,Vincent_van_Gogh
419,Post_Impressionism,man-with-spade-in-a-suburb-of-paris,1887,Vincent_van_Gogh
421,Realism,peasant-woman-seen-against-the-window-head-and-whole-figure,1885,Vincent_van_Gogh
424,Realism,peasant-with-sickle,1885,Vincent_van_Gogh
425,Post_Impressionism,standing-female-nude-seen-from-the-front,1886,Vincent_van_Gogh
427,Post_Impressionism,the-green-wheatfield-behind-the-asylum,1889,Vincent_van_Gogh
431,Post_Impressionism,rest-work-after-millet,1890,Vincent_van_Gogh
432,Post_Impressionism,the-olive-trees,1888,Vincent_van_Gogh
434,Post_Impressionism,the-entrance-hall-of-saint-paul-hospital,1889,Vincent_van_Gogh
436,Post_Impressionism,sheet-with-figures-at-a-table-a-sower-clogs-etc,1890,Vincent_van_Gogh
437,Realism,ploughman-with-woman-planting-potatoes,1884,Vincent_van_Gogh
438,Realism,peasant-woman-working-with-a-long-stick,1885,Vincent_van_Gogh
440,Realism,orphan-man-with-top-hat-and-umbrella-looking-at-his-watch,1882,Vincent_van_Gogh
441,Post_Impressionism,people-walking-in-front-of-the-palais-du-luxembourg,1886,Vincent_van_Gogh
442,Realism,peasant-seen-from-the-back-and-three-hands-holding-a-stick,1885,Vincent_van_Gogh
444,Realism,reaper-with-sickle-after-millet,1881,Vincent_van_Gogh
447,Post_Impressionism,thatched-sandstone-cottages-in-chaponval,1890,Vincent_van_Gogh
453,Realism,woman-in-a-dark-dress-sien-s-mother,1882,Vincent_van_Gogh
455,Post_Impressionism,two-women-working-in-wheat-field,1890,Vincent_van_Gogh
458,Post_Impressionism,still-life-with-drawing-board-pipe-onions-and-sealing-wax,1889,Vincent_van_Gogh
459,Post_Impressionism,wheat-field,1888,Vincent_van_Gogh
460,Realism,self-portrait-with-pipe,1886,Vincent_van_Gogh
461,Post_Impressionism,mask-of-an-egyptian-mummy-4,1889,Vincent_van_Gogh
465,Realism,lane-with-trees-and-one-figure,1884,Vincent_van_Gogh
466,Post_Impressionism,self-portrait-as-an-artist,1888,Vincent_van_Gogh
467,Post_Impressionism,olive-trees,1889,Vincent_van_Gogh
469,Realism,women-working-in-the-peat,1883,Vincent_van_Gogh
477,Post_Impressionism,the-fourteenth-of-july-celebration-in-paris,1886,Vincent_van_Gogh
478,Realism,still-life-with-coffee-mill-pipe-case-and-jug,1884,Vincent_van_Gogh
479,Realism,woman-sitting-by-the-fire-peeling-potatoes,1885,Vincent_van_Gogh
480,Post_Impressionism,study-for-woman-sitting-by-a-cradle,1887,Vincent_van_Gogh
482,Post_Impressionism,sketch-of-cows-and-children,1890,Vincent_van_Gogh
484,Realism,vicarage-at-etten,1876,Vincent_van_Gogh
488,Realism,old-nag,1883,Vincent_van_Gogh
490,Post_Impressionism,the-ravine-of-the-peyroulets,1889,Vincent_van_Gogh
492,Post_Impressionism,ploughman-in-the-fields-near-arles,1888,Vincent_van_Gogh
494,Realism,state-lottery-office,1882,Vincent_van_Gogh
495,Realism,man-with-bowler,1885,Vincent_van_Gogh
496,Post_Impressionism,joseph-etienne-roulin,1889,Vincent_van_Gogh
497,Realism,view-of-the-hague-with-the-new-church,1882,Vincent_van_Gogh
498,Realism,head-of-a-woman,1885,Vincent_van_Gogh
499,Post_Impressionism,sketches-of-peasant-plowing-with-horses,1890,Vincent_van_Gogh
500,Post_Impressionism,pollard-willows,1889,Vincent_van_Gogh
501,Post_Impressionism,men-in-front-of-the-counter-in-a-cafe,1890,Vincent_van_Gogh
502,Post_Impressionism,olive-trees-in-a-mountain-landscape,1889,Vincent_van_Gogh
503,Post_Impressionism,woman-with-hat-half-length,1886,Vincent_van_Gogh
504,Post_Impressionism,thatched-houses-against-a-hill,1890,Vincent_van_Gogh
505,Realism,two-women-kneeling,1883,Vincent_van_Gogh
506,Post_Impressionism,still-life-with-irises,1890,Vincent_van_Gogh
507,Post_Impressionism,vase-with-red-poppies,1886,Vincent_van_Gogh
513,Realism,kettle-over-a-fire-and-a-cottage-by-night,1885,Vincent_van_Gogh
515,Realism,young-man-with-a-broom,1882,Vincent_van_Gogh
518,Realism,three-studies-of-a-woman-with-a-shawl,1885,Vincent_van_Gogh
521,Post_Impressionism,les-alpilles-mountain-landscape-near-south-reme,1889,Vincent_van_Gogh
523,Post_Impressionism,zouave-half-figure,1888,Vincent_van_Gogh
524,Realism,young-woman-knitting,1881,Vincent_van_Gogh
525,Post_Impressionism,the-stone-bench-in-the-garden-at-saint-paul-hospital,1889,Vincent_van_Gogh
527,Realism,peasant-walking-with-a-wheelbarrow,1885,Vincent_van_Gogh
529,Post_Impressionism,the-kingfisher,1886,Vincent_van_Gogh
532,Realism,scheveningen-road,1882,Vincent_van_Gogh
533,Post_Impressionism,thistles-along-the-roadside,1888,Vincent_van_Gogh
538,Post_Impressionism,peach-tree-in-bloom-in-memory-of-mauve,1888,Vincent_van_Gogh
539,Post_Impressionism,undergrowth-with-ivy,1889,Vincent_van_Gogh
540,Realism,woman-with-her-left-arm-raised,1885,Vincent_van_Gogh
542,Realism,the-potato-eaters,1885,Vincent_van_Gogh
544,Realism,miners-wives-carrying-sacks-of-coal,1882,Vincent_van_Gogh
549,Realism,man-with-winnow,1881,Vincent_van_Gogh
551,Realism,the-kingfisher,1884,Vincent_van_Gogh
554,Post_Impressionism,van-gogh-s-chair,1889,Vincent_van_Gogh
555,Post_Impressionism,still-life-with-lemons-on-a-plate,1887,Vincent_van_Gogh
556,Realism,landscape-with-a-church,1883,Vincent_van_Gogh
557,Post_Impressionism,sheet-with-peasants-eating-and-other-figures,1890,Vincent_van_Gogh
558,Post_Impressionism,sheaf-binder-the-after-millet,1889,Vincent_van_Gogh
559,Post_Impressionism,wild-roses,1890,Vincent_van_Gogh
560,Post_Impressionism,restaurant-menu,1886,Vincent_van_Gogh
561,Post_Impressionism,houses-in-auvers-2,1890,Vincent_van_Gogh
563,Realism,still-life-with-an-earthern-bowl-and-pears,1885,Vincent_van_Gogh
565,Post_Impressionism,tambourine-with-pansies,1886,Vincent_van_Gogh
566,Realism,two-rats,1884,Vincent_van_Gogh
567,Realism,woman-sien-with-baby-on-her-lap-half-figure,1882,Vincent_van_Gogh
568,Post_Impressionism,vase-with-poppies-cornflowers-peonies-and-chrysanthemums,1886,Vincent_van_Gogh
571,Post_Impressionism,marguerite-gachet-at-the-piano,1890,Vincent_van_Gogh
574,Post_Impressionism,montmajour,1888,Vincent_van_Gogh
577,Realism,woman-spreading-out-laundry-on-a-field,1882,Vincent_van_Gogh
578,Realism,interior-with-peasant-woman-peeling-potatoes,1885,Vincent_van_Gogh
579,Post_Impressionism,trees-in-the-asylum-garden,1889,Vincent_van_Gogh
582,Realism,sketches-of-the-old-tower-and-figures,1885,Vincent_van_Gogh
583,Post_Impressionism,still-life-with-plaster-statuette-a-rose-and-two-novels,1887,Vincent_van_Gogh
586,Post_Impressionism,horse-and-carriage,1890,Vincent_van_Gogh
588,Post_Impressionism,head-of-a-woman-with-her-hair-loose,1886,Vincent_van_Gogh
589,Realism,orphan-man-with-top-hat-and-umbrella-under-his-arm,1882,Vincent_van_Gogh
590,Post_Impressionism,still-life-with-red-cabbages-and-onions,1887,Vincent_van_Gogh
591,Post_Impressionism,la-crau,1888,Vincent_van_Gogh
592,Post_Impressionism,vase-with-gladioli,1886,Vincent_van_Gogh
594,Realism,orphan-man-with-top-hat-holding-cup,1882,Vincent_van_Gogh
596,Post_Impressionism,self-portrait-with-gray-felt-hat,1887,Vincent_van_Gogh
597,Realism,man-with-saw,1881,Vincent_van_Gogh
598,Post_Impressionism,the-raising-of-lazarus,1890,Vincent_van_Gogh
600,Post_Impressionism,two-cut-sunflowers,1887,Vincent_van_Gogh
601,Realism,lying-cow,1883,Vincent_van_Gogh
603,Post_Impressionism,still-life-vase-with-fifteen-sunflowers,1888,Vincent_van_Gogh
604,Post_Impressionism,undergrowth-with-two-figures,1890,Vincent_van_Gogh
605,Post_Impressionism,sketch-of-clouds-with-colour-annotations,1890,Vincent_van_Gogh
607,Post_Impressionism,vase-with-peonies,1886,Vincent_van_Gogh
610,Post_Impressionism,plaster-statuette-of-a-female-torso,1886,Vincent_van_Gogh
611,Post_Impressionism,road-with-cypresses,1890,Vincent_van_Gogh
612,Realism,studies-of-a-dead-sparrow,1885,Vincent_van_Gogh
613,Post_Impressionism,montmartre-the-quarry-and-windmills,1886,Vincent_van_Gogh
614,Realism,landscape-with-windmill,1881,Vincent_van_Gogh
616,Realism,sand-diggers,1882,Vincent_van_Gogh
617,Realism,sowers,1882,Vincent_van_Gogh
